id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
330838,13,BlockedShot,0.915,0.43,0.132799849,Pierre-Emerick Aubameyang,a,318,OpenPlay,2019,LeftFoot,11762,Leicester,Arsenal,2,0,09/11/19 17:30,HÌ©ctor BellerÌ_n,Pass
332318,17,BlockedShot,0.889000015,0.442000008,0.075268194,Pierre-Emerick Aubameyang,h,318,OpenPlay,2019,RightFoot,11763,Arsenal,Southampton,2,2,23/11/19 15:00,Kieran Tierney,Cross
332328,50,SavedShot,0.923000031,0.595999985,0.397349745,Pierre-Emerick Aubameyang,h,318,OpenPlay,2019,RightFoot,11763,Arsenal,Southampton,2,2,23/11/19 15:00,,None
334207,28,Goal,0.885,0.5,0.761132061,Pierre-Emerick Aubameyang,a,318,Penalty,2019,RightFoot,11781,Norwich,Arsenal,2,2,01/12/19 14:00,,Standard
334213,56,Goal,0.926999969,0.572000008,0.418275625,Pierre-Emerick Aubameyang,a,318,FromCorner,2019,RightFoot,11781,Norwich,Arsenal,2,2,01/12/19 14:00,,Rebound
335198,27,MissedShots,0.875,0.345,0.074722804,Pierre-Emerick Aubameyang,h,318,OpenPlay,2019,RightFoot,11783,Arsenal,Brighton,1,2,05/12/19 20:15,Alexandre Lacazette,Pass
335211,66,BlockedShot,0.889000015,0.41,0.148528203,Pierre-Emerick Aubameyang,h,318,OpenPlay,2019,RightFoot,11783,Arsenal,Brighton,1,2,05/12/19 20:15,Nicolas Pepe,Throughball
336681,45,MissedShots,0.755,0.617999992,0.016297927,Pierre-Emerick Aubameyang,a,318,OpenPlay,2019,RightFoot,11802,West Ham,Arsenal,1,3,09/12/19 20:00,Lucas Torreira,TakeOn
336691,68,Goal,0.921999969,0.46,0.507874191,Pierre-Emerick Aubameyang,a,318,OpenPlay,2019,RightFoot,11802,West Ham,Arsenal,1,3,09/12/19 20:00,,None
336694,93,BlockedShot,0.885999985,0.54,0.129765347,Pierre-Emerick Aubameyang,a,318,OpenPlay,2019,RightFoot,11802,West Ham,Arsenal,1,3,09/12/19 20:00,,TakeOn
337721,47,MissedShots,0.923000031,0.499000015,0.078669183,Pierre-Emerick Aubameyang,h,318,OpenPlay,2019,Head,11803,Arsenal,Manchester City,0,3,15/12/19 16:30,Ainsley Maitland-Niles,Aerial
337727,72,MissedShots,0.825999985,0.738000031,0.019865369,Pierre-Emerick Aubameyang,h,318,OpenPlay,2019,LeftFoot,11803,Arsenal,Manchester City,0,3,15/12/19 16:30,Lucas Torreira,Chipped
338418,50,SavedShot,0.980999985,0.442999992,0.629339397,Pierre-Emerick Aubameyang,a,318,FromCorner,2019,RightFoot,11816,Everton,Arsenal,0,0,21/12/19 12:30,Calum Chambers,Rebound
338419,51,SavedShot,0.853000031,0.465999985,0.100203663,Pierre-Emerick Aubameyang,a,318,OpenPlay,2019,RightFoot,11816,Everton,Arsenal,0,0,21/12/19 12:30,Lucas Torreira,Pass
338422,70,MissedShots,0.909000015,0.369000015,0.067027904,Pierre-Emerick Aubameyang,a,318,OpenPlay,2019,RightFoot,11816,Everton,Arsenal,0,0,21/12/19 12:30,Ainsley Maitland-Niles,Cross
339507,18,BlockedShot,0.865999985,0.552999992,0.076687701,Pierre-Emerick Aubameyang,a,318,OpenPlay,2019,RightFoot,11824,Bournemouth,Arsenal,1,1,26/12/19 15:00,,Rebound
